numThreads mpi omp Nspheres force TotalRuntime isendRecvForces sendRecvStates waitForces collisionChecker collider Merge
4 4 1 100004 -1.81199e+08 107.373 88.3107 0.259087 0.0398395 0 0.036523 1
8 8 1 100008 -1.86164e+08 81.9839 48.5521 0.245568 0.0426284 0 0.0478138 1
2 2 1 100002 -9.08414e+07 184.047 170.877 0.23013 0.040909 0 0.0376072 1
16 16 1 100016 -1.91867e+08 61.4128 29.974 0.219754 0.042289 0 0.0619026 1
32 32 1 100032 -1.73895e+08 51.6016 20.9053 0.349502 0.046366 0 0.0572139 1
64 64 1 100064 -1.3127e+08 48.4888 18.5666 0.55065 0.0498622 0 0.0511618 1
4 4 1 500004 -1.67426e+08 477.99 390.396 0.237535 0.0379694 0 0.220736 1
8 8 1 500008 -3.24792e+08 409.555 267.173 0.190436 0.0424879 0 0.283794 1
2 2 1 500002 -9.08414e+07 900.522 832.587 0.247619 0.038532 0 0.300416 1
128 128 1 100128 -7.01854e+07 272.312 247.514 1.06241 0.0573699 0 0.0359283 1
32 32 1 500032 -9.02147e+08 254.876 97.3708 0.452192 0.0492534 0 0.234169 1
64 64 1 500064 -9.5093e+08 236.222 78.0852 0.649269 0.0519177 0 0.234889 1
128 128 1 500128 -9.07216e+08 240.772 91.0319 1.11292 0.0596129 0 0.27747 1
