numThreads mpi omp Nspheres force TotalRuntime isendRecvForces sendRecvStates waitForces collisionChecker collider Merge
4 4 1 100004 -1.61627e+08 105.574 87.5222 0.335418 0.0417104 0 0.0332038 1
8 8 1 100008 -1.61627e+08 79.228 46.3863 0.246502 0.0436106 0 0.0431781 1
2 2 1 100002 -8.18061e+07 209.917 195.72 0.243107 0.0402842 0 0.0377649 1
16 16 1 100016 -1.61627e+08 57.8241 26.2186 0.22967 0.0444006 0 0.0510522 1
32 32 1 100032 -1.61627e+08 47.4838 16.5897 0.585904 0.0483873 0 0.0351212 1
64 64 1 100064 -1.61627e+08 42.6221 12.1969 0.604038 0.0531509 0 0.0351198 1
128 128 1 100128 -1.61627e+08 114.444 86.9481 1.00226 0.0602749 0 0.0352007 1
8 8 1 100008 -1.61627e+08 79.1095 46.2848 0.235182 0.0439353 0 0.0433742 1
2 2 1 100002 -8.18061e+07 203.131 189.183 0.293915 0.0399429 0 0.0323324 1
4 4 1 100004 -1.61627e+08 187.813 172.252 0.316049 0.0401291 0 0.0390224 1
16 16 1 100016 -1.61627e+08 57.8958 26.0719 0.235412 0.0440835 0 0.0517394 1
32 32 1 100032 -1.61627e+08 47.5854 15.8929 0.430966 0.0496225 0 0.0374545 1
64 64 1 100064 -1.61627e+08 42.7971 12.0731 0.612746 0.0533291 0 0.0374991 1
128 128 1 100128 -1.61627e+08 105.345 77.4785 1.0498 0.061105 0 0.0375393 1
4 4 1 500004 -1.58532e+08 530.003 435.729 0.245288 0.0443409 0 0.233004 1
8 8 1 500008 -3.11983e+08 387.4 250.495 0.222437 0.0431474 0 0.247525 1
16 16 1 500016 -6.18885e+08 284.541 131.719 0.26593 0.0447292 0 0.231357 1
32 32 1 500032 -8.03395e+08 228.402 73.407 0.411133 0.0507864 0 0.199407 1
64 64 1 500064 -8.03395e+08 203.855 47.6202 0.630893 0.0542827 0 0.199321 1
