numThreads mpi omp Nspheres force TotalRuntime isendRecvForces sendRecvStates waitForces collisionChecker collider Merge
2 2 1 10002 -1.72289e+07 22.4897 21.0069 0.158055 0.0378905 0 0.0017655 1
4 4 1 30004 -4.93173e+07 34.5709 29.4266 0.3166 0.0409415 0 0.0205398 1
8 8 1 70008 -1.13494e+08 55.5869 32.5079 0.250635 0.0442751 0 0.0309942 1
16 16 1 150016 -2.41848e+08 86.0658 38.0257 0.239376 0.0444081 0 0.0742185 1
32 32 1 310032 -4.98555e+08 142.416 45.9967 0.396656 0.0493956 0 0.121879 1
2 2 1 10002 -1.72289e+07 20.3403 19.1031 0.118711 0.0390998 0 0.00151676 1
4 4 1 30004 -4.93173e+07 30.963 25.8286 0.275583 0.0394084 0 0.0073962 1
8 8 1 70008 -1.13494e+08 55.3436 32.1879 0.246666 0.0439624 0 0.0315105 1
16 16 1 150016 -2.41848e+08 85.9607 38.0751 0.239762 0.044034 0 0.0580886 1
32 32 1 310032 -4.98555e+08 142.388 45.9146 0.41144 0.0499041 0 0.122311 1
64 64 1 630064 -1.01197e+09 256.243 60.8145 0.650249 0.0549384 0 0.255467 1
64 64 1 630064 -1.01197e+09 256.64 61.7157 0.627632 0.0537063 0 0.254514 1
