% typical calls: mpiexec -n 4 ./yade-mpi -n -x ../yade-mpi/trunk/examples/mpi/testMPI_2D.py 30 30; ./yade-mpi -n -x ../yade-mpi/trunk/examples/mpi/testMPI_2D.py 30 30 4; ./yade-mpi -j4 -n -x ../yade-mpi/trunk/examples/mpi/testMPI_2D.py 30 30 4
numThreads mpi omp Nspheres N M runtime
4 4 1 300 10 10 323307595
4 4 1 675 15 15 406278288
4 4 1 2700 30 30 819105609
4 4 1 7500 50 50 3172639535
4 4 1 30000 100 100 12887306848
4 4 1 67500 150 150 29389314785
4 4 1 120000 200 200 53484323255
4 None 1 300 10 10 185793488
4 None 1 675 15 15 412704479
4 None 1 2700 30 30 1640800101
4 None 1 7500 50 50 7387724836
4 None 1 30000 100 100 33170488959
4 None 1 67500 150 150 76580880275
4 None 1 120000 200 200 155741817985
4 None 1 7500 50 50 8484813714
4 None 4 300 10 10 155279123
4 None 4 675 15 15 334034773
4 None 4 2700 30 30 1286071408
4 None 4 7500 50 50 4239459078
4 None 4 30000 100 100 18392601570
4 None 4 67500 150 150 42014770916
4 None 4 120000 200 200 76860636903
4 4 1 270000 300 300 144692767096
4 None 1 270000 300 300 378365947574
4 None 4 270000 300 300 177121066145
