numThreads mpi omp Nspheres force TotalRuntime isendRecvForces sendRecvStates waitForces collisionChecker
2 2 1 780 -2.09665e+07 1011.07 847.226 62.8463 31.7205 0
2 2 1 780 -2.09665e+07 964.761 799.929 63.548 31.9408 0
3 3 1 781 -2.35758e+07 943.237 772.071 67.6471 32.7064 0
4 4 1 782 -2.5098e+07 795.638 629.527 68.9919 31.5008 0
5 5 1 783 -3.25404e+07 990.452 810.937 74.3121 33.806 0
6 6 1 784 -2.83165e+07 726.721 566.306 67.1259 29.0364 0
7 7 1 785 -2.32386e+07 940.182 772.462 71.8459 30.0871 0
8 8 1 786 -2.23199e+07 770.641 604.185 74.4824 30.0419 0
9 9 1 787 -2.11045e+07 1018.88 848.318 76.4735 30.0763 0
10 10 1 788 -1.85888e+07 877.865 698.94 80.6331 30.9794 0
