#Contacts distribution
(filter dist. = -0.1, 34546 contacts, 0 excluded contacts, for 10000/10000 grains)
max_nz number_of_contacts
0.025 0.22791
0.075 0.211039
0.125 0.212313
0.175 0.217087
0.225 0.225682
0.275 0.220589
0.325 0.240006
0.375 0.223772
0.425 0.235868
0.475 0.256558
0.525 0.270563
0.575 0.278521
0.625 0.296347
0.675 0.32213
0.725 0.320538
0.775 0.335499
0.825 0.322448
0.875 0.348231
0.925 0.347913
0.975 0.385155
1.025 0

#Neighbors distribution
(filter dist. = -0.1, 142834 neighbors + 0 excluded + 97 infinite, for 10000/10000 grains)
max_nz number_of_neighbors
0.025 1.54189
0.075 1.22613
0.125 1.16024
0.175 1.12204
0.225 1.13828
0.275 1.06984
0.325 1.06156
0.375 1.03992
0.425 1.0657
0.475 1.08353
0.525 1.0692
0.575 1.08639
0.625 1.09881
0.675 1.09308
0.725 1.07652
0.775 1.11472
0.825 1.08512
0.875 1.12109
0.925 1.12045
0.975 1.35823

#Contacts distribution
(filter dist. = 2, 27358 contacts, 2545 excluded contacts, for 7630/10000 grains)
max_nz number_of_contacts
0.025 0.210886
0.075 0.194824
0.125 0.206714
0.175 0.214849
0.225 0.231327
0.275 0.231327
0.325 0.258236
0.375 0.238628
0.425 0.259696
0.475 0.277635
0.525 0.290984
0.575 0.297868
0.625 0.319979
0.675 0.347721
0.725 0.349807
0.775 0.354396
0.825 0.346678
0.875 0.370875
0.925 0.354605
0.975 0.349599
1.025 0

#Neighbors distribution
(filter dist. = 2, 108830 neighbors + 12423 excluded + 97 infinite, for 7630/10000 grains)
max_nz number_of_neighbors
0.025 1.13181
0.075 1.11659
0.125 1.13557
0.175 1.14683
0.225 1.19877
0.275 1.15101
0.325 1.14913
0.375 1.11805
0.425 1.15559
0.475 1.16978
0.525 1.13161
0.575 1.14391
0.625 1.15601
0.675 1.14579
0.725 1.11408
0.775 1.14871
0.825 1.12326
0.875 1.12889
0.925 1.09051
0.975 1.04504

#Contacts distribution
(filter dist. = 4, 19542 contacts, 6594 excluded contacts, for 5475/10000 grains)
max_nz number_of_contacts
0.025 0.20116
0.075 0.187207
0.125 0.215404
0.175 0.219183
0.225 0.231974
0.275 0.232264
0.325 0.252613
0.375 0.239823
0.425 0.257264
0.475 0.277031
0.525 0.291275
0.575 0.296508
0.625 0.30988
0.675 0.346507
0.725 0.332263
0.775 0.356681
0.825 0.336914
0.875 0.376158
0.925 0.373251
0.975 0.347379
1.025 0

#Neighbors distribution
(filter dist. = 4, 78439 neighbors + 28247 excluded + 97 infinite, for 5475/10000 grains)
max_nz number_of_neighbors
0.025 1.13051
0.075 1.09911
0.125 1.14388
0.175 1.15842
